year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
1976,330.08688,0.917128179,1.822431334,0.036954312,0.03778974,-1.167276603,2.989707937
1977,331.7293,0.943387497,1.87948462,0.121601632,0.15254619,-1.165680867,3.045165487
1978,333.38974,0.969815896,1.937627486,0.146588282,0.223648173,-1.163958697,3.101586183
1979,335.04727,0.996080059,1.99256482,0.131145784,0.247004332,-1.177676344,3.170241164
1980,336.9834,1.026610429,2.048942905,0.085954727,0.194168988,-1.16897465,3.217917555
1981,338.3278,1.047717665,2.092794769,0.053912348,0.164669504,-1.127929752,3.220724521
1982,339.1348,1.060352063,2.134678711,-0.291765125,-0.224346397,-1.153420314,3.288099025
1983,340.63348,1.083743315,2.175292645,-0.753385418,-0.687791958,-1.074212168,3.249504813
1984,342.3177,1.10991928,2.22644887,-0.289745783,-0.275135037,-1.090482308,3.316931178
1985,343.7958,1.132797405,2.273484438,-0.025879272,-0.028491573,-1.094567782,3.36805222
1986,345.28665,1.155783323,2.324388189,-0.027459557,-0.027950179,-1.086337998,3.410726187
1987,347.17352,1.184747629,2.378846291,0.050499119,0.060882106,-1.122419441,3.501265732
1988,349.47653,1.219908445,2.443369988,0.104509137,0.159915414,-1.114824822,3.55819481
1989,351.1413,1.245196337,2.493998592,0.141584426,0.258847027,-1.09734321,3.591341802
1990,352.38232,1.26397849,2.536066405,0.137264285,0.243091657,-1.109792846,3.645859251
1991,353.59357,1.282252474,2.580977174,-0.575037909,-0.470926602,-1.195354576,3.77633175
1992,354.49472,1.295811999,2.601883499,-1.787631211,-1.704284284,-1.036977715,3.638861215
1993,355.28748,1.307715561,2.626288241,-0.793963177,-0.759477285,-1.03640229,3.662690531
1994,356.61157,1.327543522,2.664344029,-0.087425647,-0.082518466,-1.08278602,3.747130049
1995,358.47745,1.355372303,2.702724617,0.085922264,0.085213234,-0.998286188,3.701010805
1996,360.2,1.380949216,2.737983597,0.148747981,0.135839293,-0.957679555,3.695663151
1997,361.6819,1.40286507,2.779553976,0.169317688,0.172820817,-1.101248275,3.880802252
1998,364.0746,1.438082282,2.829812995,0.170976097,0.221374587,-1.058344042,3.888157036
1999,365.99606,1.466214378,2.860942029,0.17446292,0.259369906,-0.903281428,3.764223457
2000,367.3839,1.486452815,2.887513428,0.175109766,0.285118094,-0.860955813,3.748469241
2001,368.9653,1.509429615,2.918381405,0.169849353,0.269296084,-0.856170005,3.77455141
2002,371.09082,1.540174971,2.963419221,0.176633147,0.281368477,-0.937873149,3.90129237
2003,373.47882,1.574530529,3.007983269,0.160278112,0.203640737,-0.976545724,3.984528993
2004,375.2173,1.599418528,3.045665349,0.171193017,0.187769436,-0.968590709,4.014256059
2005,377.10568,1.62633742,3.083991525,0.143467141,0.133584966,-1.0009884,4.084979925
2006,379.11255,1.654814022,3.120630636,0.128362066,0.112473666,-1.035672264,4.1563029
2007,380.82916,1.679065846,3.160312112,0.114754039,0.087352406,-0.985252699,4.145564811
2008,382.8151,1.707001889,3.197800029,0.131293399,0.101411273,-0.928302073,4.126102102
2009,384.53223,1.731053406,3.229580758,0.104192286,0.074247758,-0.852376727,4.081957485
2010,386.81888,1.762934356,3.282094807,0.136801577,0.129009881,-0.838306673,4.12040148
2011,389.04242,1.793775541,3.323685924,0.09815763,0.124734025,-0.815487732,4.139173656
2012,391.20496,1.823621126,3.370161268,0.133749723,0.174694257,-0.833035319,4.203196587
2013,393.7089,1.857997029,3.415054487,0.156764925,0.20597777,-0.741866943,4.15692143
2014,395.7054,1.885268342,3.461973537,0.038630025,0.097733641,-0.737282279,4.199255816
2015,398.11768,1.918056141,3.491659529,0.038630025,0.067827318,-0.673696552,4.165356081
2016,401.11243,1.958518427,3.534271135,0.038630025,0.031042799,-0.670800418,4.205071553
2017,403.83524,1.995075297,3.582294737,0.038630025,0.021163444,-0.661333967,4.243628704
2018,406.6636,2.032819952,3.634123633,0.038630025,0.01716247,-0.655494272,4.289617905
2019,409.52466,2.070766494,3.684742241,0.038630025,0.016457153,-0.63343933,4.318181571
2020,412.398,2.108641874,3.736771828,0.038630025,0.021661391,-0.597975442,4.33474727
2021,415.27826,2.146375994,3.783394301,0.038630025,0.058187267,-0.596768576,4.380162876
2022,418.17548,2.184100794,3.829429189,0.038630025,0.098023085,-0.595726161,4.42515535
2023,421.08856,2.221801314,3.874730478,0.038630025,0.120611623,-0.594764919,4.469495397
2024,424.02142,2.259527551,3.91957486,0.038630025,0.129467279,-0.593685796,4.513260656
2025,426.96548,2.297168611,3.964001674,0.038630025,0.107422289,-0.592458513,4.556460187
2026,429.9321,2.334868078,4.008245549,0.038630025,0.082437117,-0.591431704,4.599677253
2027,432.91867,2.3725924,4.052167345,0.038630025,0.056999485,-0.590096442,4.642263787
2028,435.9286,2.410381015,4.095697373,0.038630025,0.046790141,-0.588913766,4.684611139
2029,438.95465,2.448143596,4.138842084,0.038630025,0.029812024,-0.587510869,4.726352953
2030,442.00604,2.485992963,4.18178865,0.038630025,0.020733466,-0.586256221,4.768044871
2031,445.07883,2.523877386,4.222102073,0.038630025,0.011800357,-0.575745872,4.797847944
2032,448.1667,2.561718852,4.261760475,0.038630025,0.013791108,-0.565154677,4.826915152
2033,451.251,2.599290467,4.300208855,0.038630025,0.035616767,-0.554743032,4.854951887
2034,454.3422,2.636722073,4.337649871,0.038630025,0.073896715,-0.544569851,4.882219722
