,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2048,287.81076,288.06998,287.92453,287.75546,287.7277,288.10464,288.0271,287.73294,287.83063,287.3044,287.82596,287.92545,287.9009,287.85837,287.98666,287.93378,287.78055,287.87698,287.9743,287.89694,287.84268,287.58728,287.98715,288.02582,287.83228,287.8548,287.8033,287.50937,287.83157,287.96536,287.89896,287.80814,287.8742,287.8225,287.8699,288.14688,287.83554,287.98566,287.44937,287.76697,287.88943,287.98456,287.99344,287.88354,287.89633,288.0652,287.90326,287.89188,288.0414,287.8716,287.7905,288.0827,288.06052,287.8621,287.97754,287.5451,287.69757,288.00797,288.01404,287.74478
2049,287.92496,288.0956,287.9043,287.95694,287.73825,288.17673,287.8523,287.9377,287.8771,287.50128,287.87634,287.95663,287.85086,287.89413,288.03952,287.80698,287.6576,287.94412,287.99973,287.9548,288.0651,287.7312,288.03183,288.0752,287.87646,287.79333,287.7544,287.74167,287.95752,287.844,287.86023,287.8113,287.87885,287.98312,287.96127,287.88315,287.94046,288.0577,287.4247,287.8665,287.8702,288.04178,287.88425,287.9534,288.083,287.9808,287.20978,288.0754,288.02103,287.83694,287.93213,288.05704,288.1055,287.8012,288.00412,287.5798,287.7452,287.895,287.99664,287.9359
2050,287.99997,287.94846,287.7191,287.83023,287.87112,288.00412,287.87576,288.03046,287.84146,287.6365,287.95947,287.83694,287.87186,287.95193,288.00403,287.97647,287.72562,288.10748,288.0316,288.04437,288.09995,287.85004,287.8822,287.94308,287.93982,287.8763,287.96268,287.82748,288.05444,287.8635,287.97482,287.8437,287.93765,287.87497,287.99057,287.85776,287.96823,288.0599,287.48148,288.095,287.9358,288.16238,287.9435,288.03705,287.9026,288.04056,287.07816,287.93872,287.95218,288.08408,287.94678,288.0961,288.12198,287.93924,287.88034,287.5568,287.9067,287.9553,287.99112,287.9789
2051,288.02353,288.06314,287.9503,287.75793,287.93088,287.9921,287.99576,287.82883,287.94485,287.70987,287.9295,287.95273,287.86575,287.8654,287.87518,288.0659,287.82547,287.94693,288.16544,287.99945,287.97638,287.94373,287.91635,288.01273,287.98904,287.8757,287.88754,287.7245,287.95993,288.08383,287.80533,287.93668,288.11304,287.93588,287.93127,287.96878,288.16998,287.88962,287.5323,288.07574,287.9979,288.12332,287.96918,287.93378,287.99384,287.99515,287.27988,287.94803,287.9094,287.8931,287.81363,288.0351,288.11234,288.0189,287.97287,287.6458,287.99255,287.87646,288.00595,287.95175
2052,288.035,288.1334,288.1748,287.76718,287.8014,287.97412,288.0686,287.9645,287.93872,287.78064,288.03323,287.98282,288.04697,287.94522,287.9715,287.95447,288.00186,287.86472,288.10794,287.7321,287.86044,287.2969,288.00244,288.14316,287.89996,287.9073,286.88623,287.96567,287.9087,288.10938,287.8374,287.82895,288.09796,287.957,287.90866,287.9506,288.09708,287.96774,287.54575,287.90964,287.87457,288.1666,288.03162,288.03574,287.92633,288.00095,287.53702,288.01505,287.98447,287.8135,287.83456,288.17062,288.07382,287.8829,288.03607,287.7925,287.9445,287.8752,287.99915,288.06573
2053,287.98517,288.03268,288.1841,288.02002,287.8878,288.01736,288.0739,287.9813,287.86896,287.9542,288.02286,287.99332,288.04413,287.90814,288.1182,288.0466,287.9362,288.0908,287.9686,287.83054,287.90274,287.13538,287.8837,287.97443,287.81567,287.80142,286.98193,288.00906,287.99304,287.8799,287.9045,287.9758,287.911,287.84177,287.88217,287.90604,288.03012,287.97464,287.57767,287.99936,287.98242,288.21667,287.6602,288.17398,287.87222,287.9406,287.60754,288.2597,287.90945,287.79993,287.90857,288.08932,288.02847,287.7893,287.99673,287.8267,287.8472,288.04907,288.04794,288.01923
2054,288.02362,288.0276,288.071,287.92798,287.9501,288.0186,287.617,287.8311,287.94186,288.02097,287.99368,288.00012,287.91165,287.99573,288.1337,287.95593,288.00113,288.0686,287.93527,288.0893,287.98605,287.2275,288.08395,288.0538,287.80054,288.00137,287.31454,288.0349,288.0438,287.87952,287.90067,288.0767,287.14215,287.89233,287.99423,287.87106,287.96335,287.98218,287.5028,288.007,288.076,288.22345,286.9329,288.0053,287.9723,287.98242,287.69507,288.03833,288.03687,287.7785,288.08,288.00873,287.99094,287.88254,288.12424,287.8896,288.02884,288.10605,287.9915,287.92282
2055,288.0597,288.29254,288.0668,287.89767,287.779,288.02466,287.83102,287.8544,287.95236,288.00314,288.20166,287.9017,288.01855,288.12555,288.07767,288.0999,288.2057,288.18375,288.0533,288.04227,288.04126,287.32397,288.15543,288.2361,287.91055,288.09457,287.43326,287.95853,287.96136,287.99313,287.92142,288.08438,287.3348,287.94016,287.9767,288.041,288.1154,287.98935,287.57907,288.07617,288.1122,288.13193,287.3195,288.02557,288.09097,288.08713,287.81033,288.04874,288.28506,287.98975,288.10437,288.0364,288.16138,287.8523,288.04953,287.81998,288.11908,288.10635,287.98727,287.83762
2056,288.1415,288.14148,288.08777,287.8776,287.3337,288.08365,287.87546,288.09348,287.85532,287.93463,288.1716,287.98294,288.0811,288.20297,288.1965,288.28412,288.0546,288.0399,288.05978,287.92648,288.0143,287.56613,288.21515,288.0414,287.9326,288.1564,287.55664,287.89725,287.95883,287.953,288.0763,288.11185,287.44974,288.06192,288.0,288.10507,287.92776,288.08575,287.7117,288.0895,288.08444,288.00412,287.681,288.1027,288.10312,288.0449,287.71365,288.13837,288.16693,287.89676,287.96143,287.98904,288.27606,288.02356,288.06583,287.82358,288.03345,288.18857,287.9977,287.90436
2057,288.17715,288.16696,288.06668,287.91153,287.3749,287.95596,287.9017,288.24997,287.78937,288.00912,288.22708,288.08038,288.07822,288.1697,288.0126,288.20514,287.78366,288.07483,288.01724,288.01477,287.93362,287.62134,288.04614,288.06332,288.01654,288.07407,287.7477,288.07986,287.95544,287.90317,288.02637,288.21475,287.77197,288.0719,288.0279,287.9144,288.0685,287.98083,287.8239,288.17465,288.12503,287.9333,287.75333,288.14282,288.01797,287.85788,287.86542,288.11597,288.0377,287.79367,288.1064,288.19107,288.1564,288.05048,287.9551,288.0961,288.07596,288.1521,288.1322,287.82126
