,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1866,286.5396,286.55676,286.70035,286.80893,286.81354,286.56067,286.5646,286.73795,286.78745,286.53427,286.6791,286.75278,286.59366,286.65738,286.75815,286.64624,286.60693,286.54175,286.7382,286.84747,286.57578,286.6509,286.62985,286.70047,286.59158,286.7022,286.64142,286.4547,286.67484,286.70486,286.5526,286.59378,286.64716,286.64346,286.6913,286.6569,286.74097,286.66788,286.58517,286.6758,286.70444,286.6597,286.80478,286.53836,286.67093,286.59183,286.7296,286.61166,286.82425,286.55627
1867,286.69714,286.6806,286.6282,286.7632,286.79236,286.6956,286.62506,286.7144,286.65942,286.59512,286.72635,286.69885,286.59286,286.51486,286.89005,286.61136,286.66528,286.43604,286.54794,286.7509,286.50537,286.65634,286.71582,286.6485,286.60327,286.67603,286.66037,286.56418,286.6755,286.82846,286.39062,286.48453,286.63596,286.56256,286.6584,286.71234,286.85342,286.78806,286.5674,286.509,286.511,286.58304,286.9208,286.57288,286.47446,286.45844,286.60858,286.54456,286.56827,286.5815
1868,286.66873,286.769,286.58868,286.75354,286.63654,286.59476,286.63583,286.58932,286.70294,286.75302,286.64078,286.69235,286.4585,286.56894,287.00192,286.6789,286.7914,286.44424,286.4932,286.61935,286.52408,286.76453,286.67514,286.60117,286.7579,286.6366,286.662,286.49277,286.61966,286.75928,286.39572,286.63516,286.68713,286.61066,286.82816,286.78503,286.835,286.6841,286.5596,286.42545,286.5576,286.55988,286.77975,286.60733,286.4966,286.4952,286.8474,286.45877,286.613,286.7057
1869,286.6232,286.68704,286.4232,286.71066,286.72034,286.4779,286.63235,286.57382,286.69266,286.58737,286.65558,286.9271,286.42435,286.58237,286.6249,286.61115,286.8094,286.6207,286.49536,286.67734,286.47678,286.83713,286.5776,286.47058,286.79883,286.7126,286.611,286.58212,286.71463,286.7347,286.51114,286.84268,286.72055,286.6519,286.746,286.68393,286.69913,286.70102,286.7997,286.5027,286.70084,286.67984,286.65906,286.60983,286.58545,286.68167,286.82578,286.4957,286.63943,286.86252
1870,286.51474,286.5884,286.4758,286.64554,286.86887,286.51718,286.60013,286.66748,286.6641,286.60245,286.82468,286.9692,286.49582,286.57916,286.54657,286.66064,286.60455,286.80142,286.62204,286.68277,286.52182,286.73062,286.69144,286.41992,286.63193,286.92865,286.70682,286.77734,286.7364,286.7765,286.5253,286.86157,286.56204,286.74512,286.55432,286.64926,286.6728,286.71152,286.59067,286.78424,286.58353,286.59363,286.81253,286.6311,286.5695,286.8752,286.6766,286.6589,286.62277,286.75342
1871,286.4692,286.6339,286.6632,286.72998,286.75018,286.5022,286.61093,286.77164,286.6538,286.6194,286.75284,286.77066,286.5954,286.8204,286.6868,286.61905,286.62027,286.7345,286.72433,286.71426,286.68515,286.7711,286.7403,286.70297,286.7005,286.90863,286.70856,286.80096,286.75912,286.8323,286.5303,286.78513,286.57462,286.7164,286.51132,286.71664,286.64218,286.75943,286.50787,286.68643,286.7919,286.6121,286.86356,286.7263,286.66815,286.52686,286.5822,286.72653,286.67102,286.691
1872,286.6763,286.72775,286.80798,286.55447,286.73288,286.63474,286.759,286.64636,286.76526,286.73993,286.7106,286.86722,286.6616,286.8284,286.53824,286.58963,286.64542,286.75156,286.88684,286.80804,286.7749,286.8375,286.8345,286.71536,286.75558,286.68716,286.82242,286.50156,286.6959,286.86118,286.53207,286.90875,286.71628,286.61844,286.6249,286.78836,286.70337,286.74573,286.64847,286.38242,286.82346,286.69632,286.6549,286.65283,286.77185,286.3658,286.46164,286.57614,286.70993,286.74207
1873,286.9105,286.5993,286.68274,286.5286,286.79242,286.65585,286.47897,286.64127,286.78094,286.67773,286.69482,286.80188,286.48767,286.7692,286.45688,286.6643,286.65625,286.7947,286.71295,286.89694,286.5151,286.96274,286.6045,286.59552,286.70956,286.45676,286.76758,286.55536,286.59546,286.72797,286.6015,286.64816,286.7338,286.48026,286.47275,286.6455,286.53638,286.8681,286.7336,286.4847,286.695,286.6885,286.44968,286.5541,286.9299,286.49365,286.56396,286.49368,286.7112,286.70444
1874,286.6097,286.55612,286.5894,286.50192,286.8463,286.77942,286.6303,286.48685,286.5928,286.5839,286.58206,286.5366,286.72607,286.83954,286.58182,286.52493,286.6085,286.7163,286.55527,286.71414,286.46524,286.99167,286.64987,286.52716,286.86514,286.49817,286.78665,286.66345,286.56503,286.6735,286.68625,286.62704,286.8055,286.57553,286.624,286.67905,286.56686,286.87924,286.78903,286.36215,286.70737,286.63153,286.6022,286.75708,286.8055,286.58112,286.7252,286.47632,286.7719,286.78842
1875,286.6077,286.6482,286.7291,286.65152,286.82724,286.64865,286.52216,286.68277,286.64102,286.6825,286.50827,286.6137,286.56577,286.77264,286.62265,286.63925,286.54306,286.453,286.61624,286.65128,286.46494,286.69803,286.71603,286.4891,287.0171,286.43332,286.6878,286.49863,286.69138,286.72165,286.64935,286.70145,286.73227,286.6717,286.57587,286.6918,286.71854,286.8123,286.68045,286.47543,286.74692,286.77167,286.60498,286.82477,286.47476,286.63043,286.69977,286.71036,286.77905,286.7266
